Site,Longitude,Latitude,Planting,Genetics,Year
ARH1_2016,-90.7603555,34.72952,2016-04-07,95,2016
ARH1_2017,-90.76032575,34.7272515,2017-04-17,95,2017
ARH1_2018,-90.7603455,34.729679000000004,2018-04-25,95,2018
ARH2_2016,-90.66530155,35.83861400000001,2016-04-23,95,2016
ARH2_2017,-90.0752695,35.67418125,2017-04-25,95,2017
ARH2_2018,-90.0749725,35.674241,2018-04-19,95,2018
COH1_2017,-104.9997825,40.64850025,2017-05-31,95,2017
COH1_2021,-104.994675,40.648675,2021-05-22,95,2021
COH1_2022,-104.99532725,40.652454,2022-05-19,95,2022
COH1_2023,-104.992225,40.652425,2023-05-24,95,2023
DEH1_2014,-75.4656925,38.62935675,2014-05-05,95,2014
DEH1_2015,-75.4656925,38.62935675,2015-04-29,95,2015
DEH1_2016,-75.44606,38.6482025,2016-04-25,95,2016
DEH1_2017,-75.4333645,38.67025825,2017-04-28,95,2017
DEH1_2018,-75.44913625000001,38.65164475,2018-05-02,95,2018
DEH1_2019,-75.43322500000001,38.670675,2019-05-09,95,2019
DEH1_2020,-75.46566025000001,38.628981,2020-05-14,95,2020
DEH1_2021,-75.45625,38.63525,2021-04-27,95,2021
DEH1_2022,-75.45824999999999,38.63775,2022-04-25,95,2022
DEH1_2023,-75.46575,38.629000000000005,2023-05-08,95,2023
GAH1_2014,-83.55515025,31.50582525,2014-04-04,95,2014
GAH1_2015,-83.555095,31.505771,2015-04-01,95,2015
GAH1_2016,-83.55854775,31.5079175,2016-04-12,95,2016
GAH1_2017,-83.55854475000001,31.50794425,2017-04-04,95,2017
GAH1_2018,-83.55515025,31.50582525,2018-04-03,95,2018
GAH1_2019,-83.55515025,31.50582525,2019-03-28,95,2019
GAH1_2020,-83.558517,31.5079775,2020-04-01,95,2020
GAH1_2021,-83.558517,31.5079775,2021-03-25,95,2021
GAH1_2022,-83.55800500000001,31.506032499999996,2022-04-04,95,2022
GAH1_2023,-83.5585,31.507937499999997,2023-03-30,95,2023
GAH2_2016,-83.3110275,33.717295,NA,95,2016
GAH2_2017,-83.29821525,33.727145,2017-05-02,95,2017
GAH2_2018,-83.30894674999999,33.71560925,2018-05-01,95,2018
GAH2_2019,-83.308125,33.7204165,2019-04-12,95,2019
GAH2_2020,-83.30265185,33.72355555,2020-05-05,95,2020
GAH2_2021,-83.30972048999999,33.7154545725,2021-04-14,95,2021
GAH2_2022,-83.3044675,33.726664,2022-04-14,95,2022
GAH2_2023,-83.303219025,33.72448995,2023-04-24,95,2023
GEH1_2019,9.93711225,51.502453,2019-05-14,95,2019
GEH1_2020,9.923683,51.495261250000006,2020-05-06,95,2020
GEH1_2021,9.92640075,51.47076224999999,2021-05-11,95,2021
GEH1_2022,9.8861215,51.5127995,2022-05-15,95,2022
IAH1_2015,-93.693369725,41.99809519750001,2015-05-02,95,2015
IAH1_2016,-91.4940229575,41.19924609,2016-04-22,95,2016
IAH1_2017,-91.4940229575,41.19924609,2017-04-25,95,2017
IAH1_2018,-91.487670715,41.1977421375,2018-05-08,95,2018
IAH1_2019,-91.4941418,41.1992562,2019-06-06,95,2019
IAH1_2020,-91.487670715,41.1977421375,2020-05-11,95,2020
IAH1_2021,-91.494122375,41.19933001,2021-05-01,95,2021
IAH1_2022,-91.48720141,41.197664355,2022-05-10,95,2022
IAH1_2023,-91.49404657,41.200094515,2023-05-20,95,2023
IAH1a_2014,-93.693369725,41.99809519750001,2014-05-17,95,2014
IAH1b_2014,-93.693369725,41.99809519750001,2014-05-17,95,2014
IAH1c_2014,-93.693369725,41.99809519750001,2014-05-09,95,2014
IAH2_2014,-94.7205012925,42.06582876,2014-05-16,95,2014
IAH2_2016,-94.7205012925,42.06582876,2016-04-25,95,2016
IAH2_2017,-94.7205012925,42.06582876,2017-05-06,95,2017
IAH2_2018,-94.7205012925,42.06582876,2018-04-29,95,2018
IAH2_2019,-94.72067796,42.065834984999995,2019-04-26,95,2019
IAH2_2021,-94.72081685,42.065842895,2021-04-27,95,2021
IAH2_2022,-94.729009495,42.06749174750001,2022-05-20,95,2022
IAH2_2023,-94.72044451,42.065871207499995,2023-05-04,95,2023
IAH3_2014,-92.24291804,41.975856285000006,2014-05-20,95,2014
IAH3_2015,-92.24291804,41.975856285000006,2015-04-30,95,2015
IAH3_2016,-92.2431888125,41.9758706025,2016-04-24,95,2016
IAH3_2017,-92.2431888125,41.9758706025,2017-04-25,95,2017
IAH3_2018,-92.2431060325,41.97593131,2018-04-30,95,2018
IAH3_2019,-92.2431060325,41.97593131,2019-05-06,95,2019
IAH3_2021,-92.24308745,41.97582495,2021-05-06,95,2021
IAH3_2022,-92.25804885,41.98786621,2022-05-11,95,2022
IAH3_2023,-92.24311842,41.9760480275,2023-05-11,95,2023
IAH4_2014,-91.49362406,41.1997096125,2014-05-19,95,2014
IAH4_2015,-91.49362406,41.1997096125,2015-05-01,95,2015
IAH4_2016,-93.690309475,41.9945543175,2016-04-26,95,2016
IAH4_2017,-93.690309475,41.9945543175,2017-05-07,95,2017
IAH4_2018,-93.690309475,41.9945543175,2018-05-15,95,2018
IAH4_2019,-93.7933321275,42.031937975000005,2019-06-03,95,2019
IAH4_2021,-93.694298175,41.998326022499995,2021-04-28,95,2021
IAH4_2022,-93.69042819,41.994647505,2022-05-22,95,2022
IAH4_2023,-93.694012635000007,41.99840792,2023-05-05,95,2023
ILH1_2014,-88.23397575,40.05982425,2014-05-06,95,2014
ILH1_2015,-88.23397575,40.05982425,2015-04-30,95,2015
ILH1_2016,-88.2338815,40.0607245,2016-04-26,95,2016
ILH1_2017,-101.96587766472442,34.19196292257452,2017-04-26,95,2017
ILH1_2018,-88.2291765,40.06300125,2018-05-08,95,2018
ILH1_2019,-88.22983849999999,40.0587105,2019-05-21,95,2019
ILH1_2021,-88.2338815,40.0607245,2021-04-27,95,2021
ILH1_2022,-88.23121674999999,40.08242675,2022-05-11,95,2022
ILH1_2023,-88.2267095,40.087899,2023-05-03,95,2023
INH1_2014,-86.98982,40.4787595,2014-05-25,95,2014
INH1_2015,-87.000205,40.477075,2015-05-14,95,2015
INH1_2016,-86.98982,40.4787595,2016-05-19,95,2016
INH1_2017,-101.8228099023082,33.683219771598594,2017-05-16,95,2017
INH1_2018,-86.9898145,40.4787825,2018-05-07,95,2018
INH1_2019,-87.00020175,40.477063,2019-06-05,95,2019
INH1_2020,-86.9895995,40.4787965,2020-05-12,95,2020
INH1_2021,-86.99766525000001,40.477062,2021-05-24,95,2021
INH1_2022,-87.00278825,40.48251775,2022-05-12,95,2022
INH1_2023,-86.99825050000001,40.4770661,2023-05-04,95,2023
KSH1_2015,-96.60482225,39.216417750000005,2015-04-23,95,2015
KSH1_2016,-96.62898225,39.14480675,NA,95,2016
KSH1_2018,-100.775188,37.810107,2018-05-07,95,2018
MIH1_2016,-84.29526249999999,42.412066749999994,2016-05-24,95,2016
MIH1_2017,-84.49434124999999,42.68116575,2017-05-22,95,2017
MIH1_2018,-84.49755575,42.689234,2018-05-28,95,2018
MIH1_2019,-84.4706665,42.70789125,2019-05-27,95,2019
MIH1_2020,-84.4705825,42.7085775,2020-05-25,95,2020
MIH1_2021,-84.47058725,42.707751,2021-05-13,95,2021
MIH1_2022,-84.47056075,42.70854325,2022-05-20,95,2022
MIH1_2023,-84.47052975,42.707759249999995,2023-05-24,95,2023
MNH1_2014,-93.53519625,44.07038575,2014-05-16,95,2014
MNH1_2015,-93.53519625,44.07038575,2015-05-19,95,2015
MNH1_2016,-93.533648,44.06646925,2016-05-17,95,2016
MNH1_2017,-93.533648,44.06646925,2017-05-10,95,2017
MNH1_2018,-93.5349412725,44.070447210000005,2018-05-24,95,2018
MNH1_2019,-93.525004705,44.0664117,2019-06-03,95,2019
MNH1_2020,-93.5326302825,44.0690783925,2020-05-15,95,2020
MNH1_2021,-93.53411425,44.07037925,2021-05-14,95,2021
MNH1_2022,-93.52954725,44.06933375,2022-05-24,95,2022
MNH1_2023,-93.5330558925,44.069144375,2023-05-22,95,2023
MOH1_1_2018,-92.20952075,38.89791675,2018-05-17,95,2018
MOH1_1_2020,-92.2070925,38.8978375,2020-06-02,95,2020
MOH1_2014,-92.2072025,38.8955475,2014-05-07,95,2014
MOH1_2015,-92.208004165,38.8965375,2015-05-04,95,2015
MOH1_2016,-92.2072025,38.8955475,2016-05-23,95,2016
MOH1_2017,-92.2057525,38.89264,2017-05-15,95,2017
MOH1_2019,-92.20883,38.8956125,2019-05-16,95,2019
MOH1_2023,-92.21034350499998,38.897818805,2023-05-24,95,2023
MOH1_2_2018,-92.20964575,38.895554250000004,2018-05-17,95,2018
MOH1_2_2020,-92.2071575,38.8958275,2020-06-02,95,2020
MOH2_2014,-92.2079,38.898079165,2014-05-05,95,2014
MOH2_2015,-92.2079,38.898079165,2015-05-05,95,2015
MOH2_2022,-92.3548775,38.92892175,2022-05-10,95,2022
MOH2_2023,-92.3534714275,38.928257005,2023-05-09,95,2023
NCH1_2014,-77.57127824999999,35.300151750000005,2014-04-28,95,2014
NCH1_2015,-77.5664625,35.296577084999996,2015-04-28,95,2015
NCH1_2016,-77.57127824999999,35.300151750000005,2016-04-15,95,2016
NCH1_2017,-77.5668065,35.29663725,2017-05-02,95,2017
NCH1_2018,-78.492372,35.6667825,2018-05-08,95,2018
NCH1_2019,-78.510504,35.67010175,2019-05-13,95,2019
NCH1_2020,-77.571317465,35.300098915,2020-04-23,95,2020
NCH1_2021,-77.177887625,36.128276365,2021-04-21,95,2021
NCH1_2022,-77.1789825,36.130624999999995,2022-04-21,95,2022
NCH1_2023,-78.49223325,35.6676615,2023-04-17,95,2023
NEH1_2014,-96.6159,40.8604,2014-05-16,95,2014
NEH1_2015,-96.41664325,41.290979,2015-06-09,95,2015
NEH1_2016,-96.41664325,41.290979,2016-05-06,95,2016
NEH1_2019,-96.6159,40.8604,2019-05-16,95,2019
NEH1_2020,-96.61667,40.851785,2020-05-12,95,2020
NEH1_2021,-96.59670298,40.8603518,2021-05-07,95,2021
NEH1_2022,-96.597845,40.85980333333334,2022-05-10,95,2022
NEH1_2023,-96.5966755,40.86093225,2023-05-16,95,2023
NEH2_2014,-100.7471915,41.0514495,2014-05-15,95,2014
NEH2_2015,-100.7471915,41.0514495,2015-04-23,95,2015
NEH2_2018,-96.55988375,41.38042275,2018-05-08,95,2018
NEH2_2019,-101.8228099023082,33.683219771598594,2019-05-17,95,2019
NEH2_2020,-100.7471915,41.0514495,2020-05-14,95,2020
NEH2_2021,-100.748892675,41.061911275,2021-05-10,95,2021
NEH2_2022,-100.7527925,41.04972975,2022-05-12,95,2022
NEH3_2014,-101.98729575000002,41.15824525,2014-05-14,95,2014
NEH3_2015,-101.98729575000002,41.15824525,2015-06-10,95,2015
NEH3_2017,-96.409,41.162,2017-05-16,95,2017
NEH3_2020,-100.779377525,41.089739824999995,2020-05-09,95,2020
NEH3_2021,-100.779377525,41.089739824999995,2021-05-21,95,2021
NEH3_2022,-100.7749075,41.089355,2022-05-12,95,2022
NEH3_2023,-100.7517765,41.0558185,2023-05-25,95,2023
NEH4_2015,-96.41663225,41.16732275,2015-06-09,95,2015
NEH4_2016,-96.41663225,41.16732275,2016-06-07,95,2016
NEH4_2017,-96.409,41.162,2017-05-16,95,2017
NYH1_2014,-76.6515625,42.72880835,2014-05-29,95,2014
NYH1_2015,-76.6515625,42.72880835,2015-05-29,95,2015
NYH1_2016,-76.6515625,42.72880835,2016-05-19,95,2016
NYH1_2017,-76.6515625,42.72880835,2017-05-20,95,2017
NYH1_2018,-76.6516166675,42.729404175,2018-05-25,95,2018
NYH1_2019,-76.65152083499999,42.7288875,2019-06-03,95,2019
NYH2_2014,-76.655339,42.726117,2014-05-27,95,2014
NYH2_2015,-76.65277775,42.7324825,2015-05-07,95,2015
NYH2_2016,-76.655339,42.726117,NA,95,2016
NYH2_2017,-76.65275025,42.73248125,2017-05-18,95,2017
NYH2_2018,-76.65530175,42.72611075,2018-05-18,95,2018
NYH2_2019,-76.65248675,42.732214025000005,2019-05-23,95,2019
NYH2_2020,-76.65036275,42.73230075,2020-05-22,95,2020
NYH2_2021,-76.65611875,42.733264,2021-05-20,95,2021
NYH2_2022,-76.650192,42.73225125,2022-05-12,95,2022
NYH2_2023,-76.65603992499999,42.7332367,2023-05-12,95,2023
NYH3_2015,-76.6555945,42.7233625,2015-05-23,95,2015
NYH3_2017,-76.65274699999999,42.73339625,2017-05-18,95,2017
NYH3_2018,-76.6556765,42.7261605,2018-05-18,95,2018
NYH3_2019,-76.65345462500001,42.7321756,2019-05-23,95,2019
NYH3_2020,-76.65137050000001,42.73227475,2020-05-22,95,2020
NYH3_2021,-76.65519325,42.73332500000001,2021-05-20,95,2021
NYH3_2022,-76.650972,42.732239,2022-05-12,95,2022
NYH3_2023,-76.655075525,42.73330975,2023-05-12,95,2023
NYS1_2020,-76.65174300000001,42.7322645,2020-05-22,95,2020
NYS1_2021,-76.65174300000001,42.7322645,2021-05-20,95,2021
OHH1_2015,-83.66477375000001,39.855785,2015-05-21,95,2015
OHH1_2016,-83.6755995,39.860924,NA,95,2016
OHH1_2017,-83.66477375000001,39.855785,2017-05-16,95,2017
OHH1_2018,-83.67122499999999,39.85688825,2018-05-15,95,2018
OHH1_2019,-83.67122475,39.85685125,2019-06-07,95,2019
OHH1_2020,-83.67288725,39.85643475,2020-06-02,95,2020
OHH1_2022,-83.67284000000001,39.8564825,2022-06-04,95,2022
OHH1_2023,-83.67350525,39.8557625,2023-05-23,95,2023
ONH1_2014,-80.44806025,43.49741975,2014-05-19,95,2014
ONH1_2015,-80.44806025,43.49741975,2015-04-30,95,2015
ONH1_2016,-80.451125,43.4997965,NA,95,2016
ONH1_2017,-80.42596875,43.49546,2017-05-17,95,2017
ONH2_2014,-81.8827315,42.45293025,2014-05-27,95,2014
ONH2_2015,-81.8816065,42.45408625,2015-05-07,95,2015
ONH2_2016,-81.88279875,42.453003499999994,2016-05-11,95,2016
ONH2_2017,-81.8827315,42.45293025,2017-05-18,95,2017
ONH2_2019,-81.881844,42.452212749999994,2019-06-19,95,2019
SCH1_2018,-82.7364835,34.6223015,2018-04-20,95,2018
SCH1_2019,-82.73756775,34.622482250000004,2019-05-02,95,2019
SCH1_2020,-82.736661,34.62225,2020-05-11,95,2020
SCH1_2021,-82.73710325,34.62254625,2021-04-13,95,2021
SCH1_2022,-82.7362945,34.62265175,2022-04-28,95,2022
SCH1_2023,-82.73724000000001,34.622587499999995,2023-05-06,95,2023
SDH1_2015,-102.928745,44.208745,2015-05-22,95,2015
TXH1-Dry_2017,-96.43393475,30.54708625,2017-03-03,95,2017
TXH1-Dry_2018,-96.4329965,30.546318,2018-03-08,95,2018
TXH1-Early_2017,-96.43393475,30.54708625,2017-03-03,95,2017
TXH1-Early_2018,-96.4329965,30.546318,2018-03-08,95,2018
TXH1-Late_2017,-96.43393475,30.54708625,2017-04-06,95,2017
TXH1-Late_2018,-96.4329965,30.546318,2018-04-03,95,2018
TXH1_2014,-96.43138643,30.5501232825,2014-03-01,95,2014
TXH1_2015,-96.43393475,30.54708625,2015-03-07,95,2015
TXH1_2016,-96.43393475,30.54708625,2016-03-04,95,2016
TXH1_2019,-96.4329965,30.546318,2019-03-20,95,2019
TXH1_2020,-96.4283715,30.53781575,2020-03-11,95,2020
TXH1_2021,-96.4278095325,30.5383629325,2021-03-10,95,2021
TXH1_2022,-96.4279361125,30.53821875,2022-03-14,95,2022
TXH1_2023,-96.43138643,30.5501232825,2023-03-01,95,2023
TXH2_2014,88.233881,40.060724,2014-04-23,95,2014
TXH2_2015,86.98982,40.47876,2015-04-25,95,2015
TXH2_2016,-96.6139217242634,40.86073680542686,2016-04-28,95,2016
TXH2_2017,-101.8228099023082,33.683219771598594,2017-05-03,95,2017
TXH2_2018,-101.8228099023082,33.683219771598594,2018-05-08,95,2018
TXH2_2019,-96.4329965,30.546318,2019-03-20,95,2019
TXH2_2020,-96.42790225,30.53825625,2020-03-11,95,2020
TXH2_2021,-96.428361205,30.53788219,2021-03-10,95,2021
TXH2_2022,-96.42840763,30.537806785,2022-03-14,95,2022
TXH2_2023,-96.43165871,30.55034681,2023-03-01,95,2023
TXH3_2019,-96.4329965,30.546318,2019-03-20,95,2019
TXH3_2020,-96.4274175,30.53869475,2020-04-08,95,2020
TXH3_2021,-96.4273201675,30.5388280175,2021-04-09,95,2021
TXH3_2022,-96.4274555575,30.538639582500004,2022-04-04,95,2022
TXH3_2023,-96.4310292925,30.549647405,2023-04-14,95,2023
TXH4_2019,-101.8228099023082,33.683219771598594,2019-05-02,95,2019
WIH1_2014,-89.494068,43.060857000000006,2014-05-09,95,2014
WIH1_2015,-89.528525,43.05511725,2015-06-04,95,2015
WIH1_2016,-89.53194975000001,43.05632525,2016-05-09,95,2016
WIH1_2017,-89.5308135,43.05668125,2017-05-05,95,2017
WIH1_2018,-89.5317,43.0544,2018-05-08,95,2018
WIH1_2019,-89.494068,43.060857000000006,2019-05-12,95,2019
WIH1_2020,-89.52853825,43.05505505000001,2020-05-07,95,2020
WIH1_2021,-89.53039749999999,43.05537,2021-05-10,95,2021
WIH1_2022,-89.532033415,43.0586069025,2022-05-09,95,2022
WIH1_2023,-89.5297795,43.0554021125,2023-05-03,95,2023
WIH2_2015,-89.33359975,43.326448500000005,2015-05-20,95,2015
WIH2_2016,-89.33882925,43.32649075,2016-05-24,95,2016
WIH2_2017,-89.33688774999999,43.3246415,2017-05-11,95,2017
WIH2_2018,-89.38645,43.38075,2018-05-19,95,2018
WIH2_2019,-89.33189475,43.32076800000001,2019-06-03,95,2019
WIH2_2020,-89.38396800000001,43.294786,2020-05-13,95,2020
WIH2_2021,-89.33172575,43.320069,2021-05-24,95,2021
WIH2_2022,-89.3862938475,43.295238507499995,2022-05-23,95,2022
WIH2_2023,-89.3841457,43.304242974999994,2023-05-11,95,2023
WIH3_2020,-89.54491325000001,44.115703,2020-05-21,95,2020
WIH3_2021,-89.544225,44.114305,2021-04-29,95,2021
WIH3_2022,-89.5563453275,44.11904984,2022-05-16,95,2022
WIH3_2023,-89.54400899999999,44.115644625,2023-04-26,95,2023
